id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
443365,54837,2057,45,0,144,1,3,0,33,10,3,34,0,9,8,3,0,0,2,2,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0.0
444352,54900,2057,57,0,144,1,1,0,570,183,120,638,2310,148,148,32,6,32,88,96,2,0,50,5,13,0,4,14,0,3.0305,0,1.8793,8.5022
444347,54900,2057,57,0,144,1,2,0,130,43,25,149,0,71,32,12,3,9,27,32,0,0,12,0,4,0,3,4,0,0.0,0,0.0,0.0
444349,54900,2057,57,0,144,1,3,0,440,140,95,489,0,141,116,20,3,23,61,64,0,0,38,5,9,0,1,10,0,0.0,0,0.0,0.0
444354,54900,2057,57,0,144,1,21,0,40,6,8,47,176,11,11,1,0,0,3,1,0,0,4,1,4,0,0,3,0,-0.7128,0,0.024,0.0
445986,55086,2057,58,0,144,1,1,0,7,1,2,7,28,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0331,0,0.0,0.0584
445988,55086,2057,58,0,144,1,2,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
445990,55086,2057,58,0,144,1,3,0,5,1,2,5,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
446754,55132,2057,40,0,144,1,1,0,356,86,103,382,1315,92,90,11,1,15,48,48,7,5,18,1,2,0,4,4,0,0.3885,0,0.4109,-0.0755
446762,55132,2057,40,0,144,1,2,0,93,19,23,99,0,43,22,4,0,2,11,11,0,0,4,1,2,0,1,1,0,0.0,0,0.0,0.0
446758,55132,2057,40,0,144,1,3,0,263,67,80,283,0,84,68,7,1,13,37,37,0,0,14,0,0,0,3,3,0,0.0,0,0.0,0.0
446827,55153,2057,41,0,144,1,1,0,575,154,116,656,2601,147,144,20,2,13,84,56,5,3,68,2,14,1,3,8,1,0.8164,0,0.1855,5.4993
446823,55153,2057,41,0,144,1,2,0,166,47,33,179,0,85,41,5,2,3,21,11,0,0,12,1,4,0,0,1,0,0.0,0,0.0,0.0
446825,55153,2057,41,0,144,1,3,0,409,107,83,477,0,138,103,15,0,10,63,45,0,0,56,1,10,1,3,7,1,0.0,0,0.0,0.0
